"score","method","lead","mean","se"
"crps",1,1,1.80964199487034,0.0965869148449131
"crps",1,2,1.95260122846952,0.267951318225375
"crps",1,3,2.71040934483461,0.657894042123385
"crps",1,4,2.30638557704562,0.446635007269932
"crps",1,5,2.60562125889601,0.358954619486199
"crps",1,6,2.8287234456127,0.526865967056485
"crps",1,7,1.80790485235527,0.102939258568678
"crps",1,8,3.3438776177051,0.925559084289835
"crps",1,9,1.85604114549947,0.175323332716035
"crps",1,10,2.8761915064103,0.898706842969131
"crps",1,11,2.1239090622382,0.12063156076985
"crps",1,12,1.90064755347618,0.250608373483552
"crps",1,13,2.90982733334214,0.332628297133232
"crps",1,14,2.31585293947193,0.388151925007479
"crps",1,15,1.92264029920153,0.22891822340731
"crps",2,1,2.96765507368885,0.408588260372852
"crps",2,2,3.39666301168888,0.427287998471886
"crps",2,3,4.41590697908156,0.44562079474059
"crps",2,4,4.76562510827923,0.505478986554917
"crps",2,5,4.99395631108372,0.594614406726672
"crps",2,6,5.82187702594869,0.990494108146609
"crps",2,7,5.83581599436159,0.685744392015418
"crps",2,8,7.38683506110503,0.482109558486508
"crps",2,9,7.19037746523149,0.935090282501906
"crps",2,10,8.22368943952787,1.33286987541428
"crps",2,11,7.82548330674112,1.3561933393381
"crps",2,12,8.28876088236117,1.39983018798438
"crps",2,13,9.77485162868124,1.22897213786218
"crps",2,14,9.85442156023472,1.42246846347057
"crps",2,15,10.1059348605279,1.39760918144252
"brier",1,1,0.0170649286936508,0.00596649598725618
"brier",1,2,0.0345256400321429,0.0200578631817461
"brier",1,3,0.0665245579194444,0.0242636910642518
"brier",1,4,0.0369843059853175,0.0176732021248853
"brier",1,5,0.0626745283519841,0.0257283336483136
"brier",1,6,0.0770674695376984,0.033084717174697
"brier",1,7,0.015095199697619,0.00274073917118182
"brier",1,8,0.122868918952381,0.0480506239804649
"brier",1,9,0.0177191955626984,0.00431653057327337
"brier",1,10,0.0747716095575397,0.0538780079330232
"brier",1,11,0.0340678051178571,0.016513702279121
"brier",1,12,0.0457623655234127,0.0210493975394331
"brier",1,13,0.101406801446825,0.0217951787040572
"brier",1,14,0.0422132085615079,0.0198167493327184
"brier",1,15,0.0214709071345238,0.00781439110349133
"brier",2,1,0.0383187465174603,0.011984703495061
"brier",2,2,0.049678135418254,0.0187995435975042
"brier",2,3,0.0865549190313492,0.0147163775130261
"brier",2,4,0.0627908592492063,0.0228514782988814
"brier",2,5,0.0760133622686508,0.0230450913984148
"brier",2,6,0.0911376833611111,0.0268619320214768
"brier",2,7,0.0579596279531746,0.0103347932943777
"brier",2,8,0.141723170751984,0.0373927935432944
"brier",2,9,0.0694484333694445,0.0114413057954803
"brier",2,10,0.115242894821429,0.0415081704766455
"brier",2,11,0.0726107602694444,0.0145004963241921
"brier",2,12,0.0878746293765873,0.0220690938269184
"brier",2,13,0.141613672688889,0.0223941833122536
"brier",2,14,0.100313034675794,0.0272464665992193
"brier",2,15,0.0925235757186508,0.0183352573391188
